acc,assay_type,center_name,consent,experiment,sample_name,instrument,librarylayout,libraryselection,librarysource,platform,sample_acc,biosample,organism,sra_study,releasedate,bioproject,mbytes,loaddate,avgspotlen,mbases,insertsize,library_name,biosamplemodel_sam,collection_date_sam...25,geo_loc_name_country_calc,geo_loc_name_country_continent_calc,geo_loc_name_sam,ena_first_public_run,ena_last_update_run,sample_name_sam,datastore_filetype,datastore_provider,datastore_region,run_file_version,bases,bytes,run_file_create_date,collection_date_sam...39,source_name_sam,tissue_sam_ss_dpl145,primary_search,isolate_sam_ss_dpl100,isolation_source_sam,lat_lon_sam_s_dpl34,samp_size_sam,genotype_sam_ss_dpl92,treatment_sam_ss_dpl55,sex_calc,dev_stage_sam,biomaterial_provider_sam,breed_sam,collected_by_sam,host_sam,identified_by_sam,geo_accession_exp,behavioral_state_sam,colony_sam_s_dpl68,age_sam,replication_sam_s_dpl43,sequence_type_sam_ss_dpl2,object_status_run,sra_accession_run,cultivar_sam,diagnosis_sam_s_dpl22,host_tissue_sampled_sam_s_dpl239
SRR26863819,RNA-Seq,SUN YAT-SEN UNIVERSITY,public,SRX22558672,GSM7905857,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,ILLUMINA,SRS19567214,SAMN38300106,Apis mellifera,SRP472583,2025-04-23 00:00:00.000000 UTC,PRJNA1041771,11780,NA,316,32460,NA,GSM7905857,[],,uncalculated,uncalculated,[missing],[],[],[],[fastq,run.zq,sra],[gs,ncbi,s3],[gs.us-east1,ncbi.public,s3.us-east-1],1,32460606092,12352313581,2023-11-17T16:02:00.000Z,missing,Nurse bees,antenna,1041771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRR32608175,RNA-Seq,UNIVERSITY OF ULM,public,SRX27913696,Cherbourg Am 21,DNBSEQ-T7,PAIRED,PolyA,TRANSCRIPTOMIC,DNBSEQ,SRS24283750,SAMN47257409,Apis mellifera,SRP568632,2025-03-07 00:00:00.000000 UTC,PRJNA1233015,20619,NA,300,32839,NA,4,[Invertebrate],2021-09-01,France,Europe,[France: Normandy, Cherbourg],[],[],[],[fastq,run.zq,sra],[gs,ncbi,s3],[gs.us-east1,ncbi.public,s3.us-east-1],1,32839300500,21620675428,2025-03-07T08:13:00.000Z,2021-09,NA,pool of half bees,1233015,pool,pool of half bees,49.65157 N 1.62054 W,30 individual bees,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRR21972973,RNA-Seq,ZAYED LAB, BIOLOGY, YORK UNIVERSITY,public,SRX17956407,GSM6656115,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS15473487,SAMN31351315,Apis mellifera,SRP403478,2023-03-02 00:00:00.000000 UTC,PRJNA891719,10530,NA,202,34673,NA,GSM6656115,[],,,,[],[],[],[],[fastq,run.zq,sra],[gs,ncbi,s3],[gs.us-east1,ncbi.public,s3.us-east-1],1,34673025078,11042171143,2022-10-19T17:40:00.000Z,NA,Brain,Brain,31351315,NA,NA,NA,NA,P1,Clothianidin 4.27ppb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRR32608173,RNA-Seq,UNIVERSITY OF ULM,public,SRX27913698,Quiberon Am 15,DNBSEQ-T7,PAIRED,PolyA,TRANSCRIPTOMIC,DNBSEQ,SRS24283752,SAMN47257437,Apis mellifera,SRP568632,2025-03-07 00:00:00.000000 UTC,PRJNA1233015,22008,NA,300,35357,NA,32,[Invertebrate],2015-06-01,France,Europe,[France: Brittany, Quiberon],[],[],[],[sra,fastq,run.zq],[ncbi,gs,s3],[gs.us-east1,s3.us-east-1,ncbi.public],1,35357964300,23078090225,2025-03-07T08:15:00.000Z,2015-06,NA,pool of half bees,1233015,pool,pool of half bees,47.4822 N 3.12019 W,30 individual bees,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRR22801755,RNA-Seq,SUN YAT-SEN UNIVERSITY,public,SRX18761500,GSM6856792,DNBSEQ-G400,PAIRED,cDNA,TRANSCRIPTOMIC,DNBSEQ,SRS16196432,SAMN32301249,Apis mellifera,SRP413636,2024-10-24 00:00:00.000000 UTC,PRJNA913589,16294,NA,100,27457,NA,GSM6856792,[],,,,[],[],[],[],[fastq,run.zq,sra],[gs,ncbi,s3],[gs.us-east1,ncbi.public,s3.us-east-1],1,27457167600,17085679498,2022-12-18T17:46:00.000Z,NA,Antennae,Antennae,32301249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRR22801756,RNA-Seq,SUN YAT-SEN UNIVERSITY,public,SRX18761499,GSM6856791,DNBSEQ-G400,PAIRED,cDNA,TRANSCRIPTOMIC,DNBSEQ,SRS16196431,SAMN32301250,Apis mellifera,SRP413636,2024-10-24 00:00:00.000000 UTC,PRJNA913589,16209,NA,100,27415,NA,GSM6856791,[],,,,[],[],[],[],[fastq,run.zq,sra],[gs,ncbi,s3],[gs.us-east1,ncbi.public,s3.us-east-1],1,27415823600,16997201165,2022-12-18T17:17:00.000Z,NA,Antennae,Antennae,32301250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRR32608182,RNA-Seq,UNIVERSITY OF ULM,public,SRX27913689,Belle-Ile Am 15,DNBSEQ-T7,PAIRED,PolyA,TRANSCRIPTOMIC,DNBSEQ,SRS24283743,SAMN47257429,Apis mellifera,SRP568632,2025-03-07 00:00:00.000000 UTC,PRJNA1233015,22033,NA,300,35544,NA,24,[Invertebrate],2015-06-01,France,Europe,[France: Brittany, Belle-Ile],[],[],[],[fastq,sra,run.zq],[ncbi,s3,gs],[s3.us-east-1,gs.us-east1,ncbi.public],1,35544655200,23103787203,2025-03-07T08:16:00.000Z,2015-06,NA,pool of half bees,1233015,pool,pool of half bees,47.34712 N 3.15538 W,28 individual bees,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRR22801760,RNA-Seq,SUN YAT-SEN UNIVERSITY,public,SRX18761495,GSM6856787,DNBSEQ-G400,PAIRED,cDNA,TRANSCRIPTOMIC,DNBSEQ,SRS16196427,SAMN32301254,Apis mellifera,SRP413636,2024-10-24 00:00:00.000000 UTC,PRJNA913589,15350,NA,100,25066,NA,GSM6856787,[],,,,[],[],[],[],[fastq,run.zq,sra],[gs,ncbi,s3],[gs.us-east1,ncbi.public,s3.us-east-1],1,25066948200,16096607456,2022-12-18T17:57:00.000Z,NA,Antennae,Antennae,32301254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRR5223581,RNA-Seq,UNIVERSITY OF NEVADA, RENO,public,SRX2532761,forager_hpg,Illumina HiSeq 2500,PAIRED,RT-PCR,TRANSCRIPTOMIC,ILLUMINA,SRS1953451,SAMN06289195,Apis mellifera,SRP098716,2019-01-01 00:00:00.000000 UTC,PRJNA369540,10657,NA,250,19898,NA,forager_hpg,[Model organism or animal],,,,[],[],[],[],[fastq,run.zq,sra],[gs,ncbi,s3],[gs.us-east1,ncbi.public,s3.us-east-1],1,19898274750,11175128446,2017-02-01T19:50:00.000Z,NA,NA,hypopharyngeal gland,369540,forager,NA,NA,NA,NA,NA,not collected,forager,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRR446003,RNA-Seq,JOHNS HOPKINS UNIVERSITY SCHOOL OF MEDICINE CENTER,public,SRX129932,NursePool5,Illumina HiSeq 2000,PAIRED,unspecified,TRANSCRIPTOMIC,ILLUMINA,SRS300645,SAMN00828744,Apis mellifera,SRP011484,2012-09-16 00:00:00.000000 UTC,PRJNA104931,17688,NA,202,28005,NA,NursePool5_rna,[],,,,[],[],[],[],[fastq,run.zq,sra],[gs,ncbi,s3],[gs.us-east1,ncbi.public,s3.us-east-1],2,28005002452,18547654269,2012-08-11T22:36:00.000Z,NA,NA,NA,104931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
